Index,Title,Views
1,Ranking Strangers from Oldest To Youngest,1.5M views
2,"Beta Squad Decide Who Wins £10,000",4.2M views
3,Who Can Travel The Furthest: UK Edition,4.7M views
4,MASTER MIND: BETA SQUAD EDITION,4.2M views
5,BETA SQUAD MAFIA GAME FT DEJI (CHILLI FORFEIT),4.4M views
6,We Opened a 5 STAR Restaurant,7.4M views
7,Ranking Strangers By Followers,4.1M views
8,Blind Dating Girls In Front Of Their Dads,5M views
9,LAST TO FALL ASLEEP CHALLENGE,11M views
10,Beta Squad Best Moments of the Year,5.1M views
11,Blind Dating Girls In Front Of Their Mums,6.4M views
12,Beta Squad: Quiz of the Year,4M views
13,6 Females vs 1 Secret Male,11M views
14,We Took The Cheapest Flight and Ended up in...,5.3M views
15,Picking A Date Based On Their Cooking (Mexican Food),4.5M views
16,FIND THE GOLD DIGGER - FILLY EDITION,6.8M views
17,Trading A Penny To A Car In 24 Hours,6.9M views
18,GUESS THE LIAR: BETA SQUAD EDITION,5.9M views
19,Picking A Date Based On Their Cooking (Italian Food),5.3M views
20,BETA SQUAD RANK THEMSELVES,7.1M views
21,Match The Child To The Parent,6M views
22,LAST TO LEAVE THE BOX FT AMP,23M views
23,GUESS THE SINGER FT BURNA BOY,8.8M views
24,We Survived 24 Hours In Military Combat School,5.3M views
25,We Paid 2 Taxi Drivers To RACE ACROSS THE COUNTRY,5.3M views
26,Match The Crime To The Convict,5.7M views
27,GUESS THE WHITE PERSON FT KSI,10M views
28,GUESS THE CATCHPHRASE: BETA SQUAD EDITION,4.2M views
29,MUKBANG: BETA SQUAD EDITION,3.7M views
30,VIRGINS GO ON FIRST DATE,4.2M views
31,Blind Dating Girls Based On Their Outfits Ft Deji,7.4M views
32,BEST FRIEND TEST 2: BETA SQUAD EDITION,5.5M views
33,Throwing A Dart And Flying Where It Lands: AUSTRALIA EDITION,11M views
34,We Survived 24 Hours In The Jungle,7.2M views
35,We Challenged Bounty Hunters To Hide And Seek,7.4M views
36,6 Australians vs 1 Secret Fake Australian,9M views
37,LAST TO LEAVE THE BOX: JUNGLE EDITION,8.2M views
38,Ranking Strangers from Smartest to Dumbest,7.3M views
39,Blind Dating Girls Based On Their Outfits Ft Harry Pinero,15M views
40,6 Rappers vs 1 Secret Fake Rapper,10M views
41,Ranking Strangers from Tallest to Shortest,6.2M views
42,Blind Dating Girls Based On Their Outfits Ft FILLY,19M views
43,GUESS THE MUSICIAN FT DAVE,10M views
44,THE WEAKEST LINK 2: BETA SQUAD EDITION,5.1M views
45,LAST TO STOP EATING HOT WINGS,7.4M views
46,Match The Parent To The Child,9M views
47,THE CHASE: BETA SQUAD EDITION,7M views
48,Who Can MAKE The MOST MONEY in 24 Hours (PARIS EDITION),8.7M views
49,THE WEAKEST FRIEND: BETA SQUAD EDITION,8.3M views
50,LAST TO LEAVE THE BOX CHALLENGE,13M views
51,COME DINE WITH ME - NIKO EDITION (FINALE),6.8M views
52,COME DINE WITH ME - AJ EDITION,4.7M views
53,COME DINE WITH ME - KENNY EDITION,5.3M views
54,COME DINE WITH ME - SHARKY EDITION,5.7M views
55,COME DINE WITH ME - CHUNKZ EDITION,6M views
56,WOULD I LIE TO YOU: BETA SQUAD EDITION,7.7M views
57,RACE ACROSS AMERICA: Beta Squad Edition,10M views
58,FIND THE GOLD DIGGER - AITCH EDITION,7.1M views
59,6 Tall People vs 1 Secret Short Person,9.7M views
60,6 Short People vs 1 Secret Tall Person,13M views
61,FUNNIEST PRANKS & MOMENTS OF 2022 | BETA SQUAD,5.5M views
62,BETA SQUAD MAFIA GAME FT MAYA JAMA,4.4M views
63,FIND THE GOLD DIGGER - KENNY EDITION,5.6M views
64,Extreme World Cup Football Challenges ft Speed,12M views
65,GUESS THE FOOTBALLER Ft Trent Alexander-Arnold,25M views
66,Throwing a Dart at a Map And Going Wherever It Lands,8.4M views
67,SPELLING BEE: BETA SQUAD EDITION,8.5M views
68,BEST FRIEND TEST: BETA SQUAD EDITION,10M views
69,Beta Squad Make Big Mac's Without A Recipe,6.5M views
70,GUESS THE RAPPER FT STORMZY,18M views
71,LIE DETECTOR TEST: BETA SQUAD EDITION,7.8M views
72,Try Not To Move Challenge,7.1M views
73,6 Americans vs 1 Secret British Person,17M views
74,BETA SQUAD MUKBANG CHALLENGE,4.1M views
75,Beta Squad Bake Cakes Without A Recipe,6.5M views
76,Match The Ex Girlfriend To The Boyfriend,4.9M views
77,FIND THE GOLD DIGGER - SHARKY EDITION,7.5M views
78,Match The Sister To Her Sibling,5.9M views
79,FIND THE GOLD DIGGER - CHUNKZ EDITION,8.2M views
80,We Opened A Fake McDonalds,10M views
81,We Pretended To Work At Walmart,11M views
