Index,Title,Views
1,"Qui perdra son Job !? (Ft. Mastu, Byilhan)",2.2M views
2,J’ai reçu une suprise par jour pendant 1 mois (le plus gros calendrier de l’avent au monde),2.9M views
3,30 secondes pour sauver une vie… (Quête mystère #3),2.7M views
4,"Qui sera le dernier survivant ? (ft Amine, Michou et Matt)",17M views
5,5 jours pour traverser la Corse à pied ! (La randonnée la plus dure d’Europe) GR20,5M views
6,Qui sont les Serials Killers?! (Le plus gros Loup-Garou de France) #2,7.8M views
7,I've finally built my house! (Here's the studio of my dreams),5.9M views
8,I climbed Mont Blanc (8 months before climbing Everest)!,6.9M views
9,7 jours en Van pour faire le Tour de France (Ft. GMK),7.8M views
10,"100 défis en une Journée Challenge #2 (Ft. Michou, Billy, Djilsi)",7.4M views
11,3H to collect 1 million cigarette butts! (We're going for the world record),3.9M views
12,Who are the Serials Killers? (France's biggest werewolf),7.8M views
13,On a pris beaucoup trop de risques…,3.2M views
14,"La Quête Mystère ! (3 lieux, 3 missions) #2",3.9M views
15,On vous dit tout.. (Feat Michou),4.2M views
16,"48H pour Survivre à une invasion de Zombie (Ft. Michou, AmineMaTue et Matt)",18M views
17,I got to discover one of the most beautiful ice islands of the world ! (InoxTRIP #2),3.6M views
18,J’ai acheté la voiture de mes rêves (elle est monstrueuse) ft. GMK,3.8M views
19,"J’ai réalisé le plus gros live de ma vie, 3 jours non stop ! (C’était incroyable)",2.1M views
20,6 Years to make this 1min56 video ! (The project of a lifetime),5.7M views
21,24 hours in the mountains! (I had a hard time...),3.8M views
22,"Qui sera le dernier dans le Van (Ce concept est un Flop) ft. Amine, Billy, Gotaga, Manny",5.3M views
23,"4 vs 1 (Qui remportera le plus d’épreuves ?!) ft. Michou, Lebouseuh, FastgoodCuisine",6.1M views
24,"The day I lost €100,000 ... VDI #14",1.9M views
25,Inoxtag - Dans La Zone (Clip Officiel),8.2M views
26,I received one surprise per day for 1 month! (you will be surprised),3.9M views
27,"Who will be the best baker ?! (Feat. Billy, Maxime, Grim...)",3M views
28,"I'm getting married? (Well, almost...) Mystery Quest #1",4.5M views
29,I created a new World (you are welcome),2.7M views
30,"The biggest paint battle in France! (Ft. Billy, Lebouseuh, Amine, Domingo, Doigby, Xari)",6.2M views
31,Sleeping in Europe's Most Haunted Forest (Ft. LeGrandJD),5.7M views
32,This video is improbable... (I broke the wall of my studio),2.9M views
33,I adopted a dog (he is so cute...) ft. Ace,7.7M views
34,I'm going back to graduate school (I expected everything but this...),5M views
35,Make the right choice! (I suffered at the end of this video...),3.8M views
36,48H to get out of a Bunker! (We had the scare of our lives) Ft. Michou!,28M views
37,Who will make the Best Pizza (or the Worst Pizza in France) feat. GMK Michou Theodort,5.9M views
38,"Unforgettable vacations, too many things happened... VDI #11",2.9M views
39,24 hours at the farm! (It was incredible),4.7M views
40,Hide and seek in one of the largest villas in South Africa (Ft. Les croûtons),5.5M views
41,The Best Date Ever #2 Special Mexico ! (ft. La sirena),10M views
42,7 Days to Survive Alone on a Deserted Island!,19M views
43,"I'm moving, my mother rejects my friend - VDI #10",3.4M views
